Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22u (Tantalum)","CASE-A_3216",46.500000,-8.500000,180.000000,top
"C2","22u (Tantalum)","CASE-A_3216",40.500000,-8.500000,180.000000,top
"C3","0.1u","C0603",42.250000,-11.250000,90.000000,top
"C4","10u","C1206",51.010000,-16.050000,180.000000,top
"C5","0.1u","C0603",43.600000,-19.800000,-90.000000,top
"LED1","KT-0603R","LED0603-RD",29.000000,-11.000000,90.000000,top
"LED2","KT-0603R","LED0603-RD",31.000000,-11.000000,90.000000,top
"R1","5k1","R0603",34.500000,-8.000000,180.000000,top
"R2","5k1","R0603",29.500000,-8.000000,0.000000,top
"R3","100","R0603",29.000000,-14.250000,90.000000,top
"R7","100","R0603",31.000000,-14.250000,90.000000,top
"SW1","TS-1187A-B-A-B","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5",60.250000,-5.000000,90.000000,top
"SW2","TS-1187A-B-A-B","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5",52.500000,-5.000000,90.000000,top
"U1","AMS1117-3.3","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR",45.000000,-4.000000,180.000000,top
"U2","CH340C_C7464026","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL",37.000000,-15.000000,-90.000000,top
"U3","ESP32-WROOM-32E(8MB)","WIFI-SMD_ESP32-WROOM-32E",16.777500,-11.000000,0.000000,top
"U4","MAX98357AETE+T","TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5",47.000000,-18.750000,-90.000000,top
"USBC1","TYPE-C-31-M-12","USB-C_SMD-TYPE-C-31-M-12",32.250000,-4.052500,180.000000,top
